ano;CLF_rc_2015;NCLF_rc_2015;;;;;;;;ano;CHF_rc_2015;NCHF_rc_2015;;ano;CLF_rc_2016;NCLF_rc_2016;CHF_rc_2016;NCHF_rc_2016;;;CLF_rc_2017;NCLF_rc_2017;CHF_rc_2017;NCHF_rc_2017;;;CLF_rc_2018;NCLF_rc_2018;CHF_rc_2018;NCHF_rc_2018;;;;;;;;;;;;;;
2015;2.91;3.06;;;;;;;;2015;1.66;1.84;;2016;0.26;5.64;0;0.44;;2017;4.74;12.65;8.97;13.55;;2018;1.16;1.31;0.4;0.45;;;;;;;;;;;;;;
2015;2.46;2.65;;;;;;;;2015;1.59;1.64;;2016;7.94;21.67;4.61;7.14;;2017;2.05;4.81;3.36;4.24;;2018;1.04;1.69;0.84;1.06;;;;;;;;;;;;;;
2015;5.64;6.2;;;;;;;;2015;4.42;4.75;;;;;;;;2017;0.06;0.86;0.54;0.7;;2018;0;0;0;0;;;;;;;;;;;;;;
2015;11.68;15.7;;;;;;;;2015;8.16;9.98;;;;;;;;2017;14.84;25.95;21.82;36.03;;2018;0.02;0.22;0.1;0.17;;;;;;;;;;;;;;
2015;32.31;41.34;;;;;;;;2015;40.94;31.83;;;;;;;;2017;2.89;7.59;3.4;10.98;;2018;0.03;9.92;0;0.01;;;;;;;;;;;;;;
2015;7.77;9.12;;;;;;;;2015;2.83;2.38;;;;;;;;2017;0.32;2.79;0.62;0.69;;2018;0.04;1.35;0;0;;;;2;;;;;;;;;;
2015;0.8;1.01;;;;;;;;2015;0;0;;;;;;;;2017;8.61;15.56;5.63;12.14;;;;;2;;;;;;;;;;;;;;;
2015;52.19;59.37;;;;;;;;2015;47.05;52.83;;;;;;;;2017;3.27;14.81;2.03;2.4;;;;;2;;;;;;;;;;;;;;;
2015;54.75;61.82;;;;;;;;2015;42.75;41.76;;;;;;;;2017;14.9;18.77;0.19;16.6;;;;;2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;2017;34.56;30.15;23.69;22.09;;;;;2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
