m1;m2;m3;m4;
0.93;1.11;0.73;0.73;
1.71;1.71;1.42;1.02;
2.98;3.14;2.02;1.89;
10.49;11.32;5.62;6.84;
92.24;92.24;80.76;86.38;
0.93;1.02;0.40;0.34;
0.17;0.20;--;--;
70.20;70.20;60.54;65.26;
47.64;51.73;36.56;33.25;
0.93;8.19;--;1.42;
8.19;24.42;2.74;5.62;
7.71;25.46;16.76;27.54;
0.57;1.61;8.99;5.12;
0.05;0.46;0.26;0.41;
28.69;70.04;45.98;93.68;
0.68;1.46;1.37;2.27;
0.04;0.41;0.11;0.29;
6.23;9.33;3.75;6.38;
1.66;3.73;1.10;1.16;
33.32;44.90;31.32;40.58;
25.93;31.55;21.87;26.43;
0.74;0.80;0.24;0.27;
3.20;1.57;0.78;3.38;
0.00;0.00;0.00;0.00;
0.04;0.18;0.08;0.10;
0.02;12.67;0.00;0.03;
0.03;0.66;;--;
