TLR_NTC;TLR_TC;;;TLP_NTC;TLP_TC;;TR_NTC;TR`TC;;TC_NTC;TC_TC
35;30;;;55;53;;20;23;;30;25
430;435;;;860;855;;430;420;;-35;-20
111;113;;;150;135;;39;22;;95;0
3;30;;;13;35;;10;5;;278;5
21;16;;;116;46;;95;30;;162;-5
145;146;;;830;820;;685;674;;265;20
120;8;;;225;210;;105;202;;10;-25
11;12;;;43;30;;32;18;;63;-14
3;3;;;61;41;;58;38;;525;-6
30;213;;;186;253;;156;40;;106;35
8;43;;;52;177;;44;134;;162;21
20;244;;;50;410;;30;166;;100;12
15;21;;;45;723;;30;702;;5;129
36;3;;;170;17;;134;14;;254;59
177;107;;;409;549;;232;442;;207;435
2;251;;;38;409;;36;158;;254;31
60;14;;;490;316;;430;302;;176;52
114;16;;;336;476;;222;460;;192;68
124;22;;;192;34;;68;12;;144;98
6;33;;;480;45;;474;12;;378;-23
12;71;;;16;345;;4;274;;98;63
70;42;;;358;92;;288;50;;321;-20
38;55;;;92;85;;54;30;;30;45
430;85;;;930;135;;500;50;;208;27
20;51;;;46;237;;26;186;;273;73
46;18;;;62;444;;16;426;;276;44
24;2;;;128;48;;104;46;;294;130
2;93;;;28;239;;26;146;;52;187
2;159;;;40;273;;38;114;;108;259
78;2;;;112;2;;34;4;;42;-198
56;29;;;230;243;;174;214;;406;263
118;7;;;296;41;;178;34;;284;303
2;37;;;210;239;;208;202;;154;361
8;78;;;162;152;;154;74;;262;22
2;93;;;32;188;;30;95;;198;-45
36;451;;;338;740;;302;289;;460;98
2;37;;;156;45;;154;8;;122;18
22;322;;;202;487;;180;165;;94;171
20;3;;;34;33;;14;30;;64;252
8;197;;;30;592;;22;395;;50;278
4;186;;;50;321;;46;135;;90;866
12;166;;;61;516;;49;350;;122;274
342;55;;;492;230;;150;175;;141;76
3;18;;;16;328;;13;310;;166;374
197;73;;;337;423;;140;350;;233;376
196;47;;;307;677;;111;630;;566;7
161;39;;;271;55;;110;16;;254;24
55;22;;;235;62;;180;40;;66;64
18;310;;;328;372;;310;62;;379;39
73;34;;;423;74;;350;40;;386;69
42;38;;;692;48;;650;10;;67;10
21;133;;;55;143;;34;10;;52;-18
24;91;;;58;101;;34;10;;82;-144
10;;;;32;;;22;;;96;
316;;;;384;;;68;;;69;
30;;;;62;;;32;;;71;
23;;;;58;;;35;;;140;
93;;;;178;;;85;;;197;
1;;;;111;;;110;;;346;
